id,name,empl_id,project,process,sub_process,date,status,start_time,end_time,total_time,comments
77,vq20lzyItQbwsYRbon9inw==,eztE1a3SRDTFBFR9G9Y3yw==,+vCD8kqWx0rqO+6MvfNSZA==,snevsHZq1Qk/qasKhwTrjQ==,yuOtuXbHx/x4DiseZsOR4g==,14-Mar-18,Break,3/14/2018 3:20:33 PM,3/14/2018 3:20:56 PM,0.38,
78,vq20lzyItQbwsYRbon9inw==,eztE1a3SRDTFBFR9G9Y3yw==,+vCD8kqWx0rqO+6MvfNSZA==,snevsHZq1Qk/qasKhwTrjQ==,yuOtuXbHx/x4DiseZsOR4g==,14-Mar-18,Break,3/14/2018 3:20:57 PM,3/14/2018 3:21:05 PM,0.12,
79,vq20lzyItQbwsYRbon9inw==,eztE1a3SRDTFBFR9G9Y3yw==,+vCD8kqWx0rqO+6MvfNSZA==,snevsHZq1Qk/qasKhwTrjQ==,yuOtuXbHx/x4DiseZsOR4g==,14-Mar-18,Break,3/14/2018 3:21:06 PM,3/14/2018 3:21:10 PM,0.07,
80,vq20lzyItQbwsYRbon9inw==,eztE1a3SRDTFBFR9G9Y3yw==,+vCD8kqWx0rqO+6MvfNSZA==,snevsHZq1Qk/qasKhwTrjQ==,yuOtuXbHx/x4DiseZsOR4g==,14-Mar-18,Break,3/14/2018 3:21:11 PM,3/14/2018 3:21:14 PM,0.05,
81,vq20lzyItQbwsYRbon9inw==,eztE1a3SRDTFBFR9G9Y3yw==,+vCD8kqWx0rqO+6MvfNSZA==,snevsHZq1Qk/qasKhwTrjQ==,yuOtuXbHx/x4DiseZsOR4g==,14-Mar-18,Break,3/14/2018 3:21:16 PM,3/14/2018 3:21:25 PM,0.13,
82,ckmT4R9WVWB26monU3MHNw==,WzzOoD5iW8LNLWYNV7IiUA==,+vCD8kqWx0rqO+6MvfNSZA==,snevsHZq1Qk/qasKhwTrjQ==,yuOtuXbHx/x4DiseZsOR4g==,14-Mar-18,System Locked,14-Mar-18 3:54:35 PM,14-Mar-18 3:54:41 PM,0.08,
83,u+hHHgsk7vXxk+pEpY5n/Q==,iDLGelE+x5b0qB63iEpffA==,+vCD8kqWx0rqO+6MvfNSZA==,snevsHZq1Qk/qasKhwTrjQ==,oFX4W+50tGaQWTDJ8JXpEw==,14-Mar-18,System Locked,14-03-2018 16:54:33,14-03-2018 16:54:46,0.22,
84,T4tv8n9icJz201/URnYfyw==,SnfemQpuaa7NRov7sMlN1A==,+vCD8kqWx0rqO+6MvfNSZA==,snevsHZq1Qk/qasKhwTrjQ==,yuOtuXbHx/x4DiseZsOR4g==,14-Mar-18,System Locked,14-03-2018 16:06:39,14-03-2018 17:00:53,54.23,
85,ckmT4R9WVWB26monU3MHNw==,WzzOoD5iW8LNLWYNV7IiUA==,+vCD8kqWx0rqO+6MvfNSZA==,snevsHZq1Qk/qasKhwTrjQ==,yuOtuXbHx/x4DiseZsOR4g==,14-Mar-18,System Locked,14-Mar-18 5:01:11 PM,14-Mar-18 5:01:16 PM,0.08,
86,u+hHHgsk7vXxk+pEpY5n/Q==,iDLGelE+x5b0qB63iEpffA==,+vCD8kqWx0rqO+6MvfNSZA==,snevsHZq1Qk/qasKhwTrjQ==,oFX4W+50tGaQWTDJ8JXpEw==,14-Mar-18,System Locked,14-03-2018 17:58:45,14-03-2018 17:58:50,0.07,
87,vq20lzyItQbwsYRbon9inw==,eztE1a3SRDTFBFR9G9Y3yw==,+vCD8kqWx0rqO+6MvfNSZA==,snevsHZq1Qk/qasKhwTrjQ==,yuOtuXbHx/x4DiseZsOR4g==,14-Mar-18,System Locked,3/14/2018 6:47:09 PM,3/14/2018 6:47:18 PM,0.15,
88,vq20lzyItQbwsYRbon9inw==,eztE1a3SRDTFBFR9G9Y3yw==,+vCD8kqWx0rqO+6MvfNSZA==,snevsHZq1Qk/qasKhwTrjQ==,yuOtuXbHx/x4DiseZsOR4g==,14-Mar-18,System Locked,3/14/2018 6:47:44 PM,3/14/2018 7:06:43 PM,18.98,
89,CGPRAHn2jx3zh/vsrZdSHA==,BMXraUrJlWC7VDm9TGmr1g==,+vCD8kqWx0rqO+6MvfNSZA==,snevsHZq1Qk/qasKhwTrjQ==,oFX4W+50tGaQWTDJ8JXpEw==,14-Mar-18,System Locked,3/14/2018 7:07:07 PM,3/14/2018 7:07:15 PM,0.12,
90,u+hHHgsk7vXxk+pEpY5n/Q==,iDLGelE+x5b0qB63iEpffA==,+vCD8kqWx0rqO+6MvfNSZA==,snevsHZq1Qk/qasKhwTrjQ==,oFX4W+50tGaQWTDJ8JXpEw==,15-Mar-18,System Locked,15-03-2018 10:38:55,15-03-2018 10:39:01,0.08,
91,ckmT4R9WVWB26monU3MHNw==,WzzOoD5iW8LNLWYNV7IiUA==,+vCD8kqWx0rqO+6MvfNSZA==,snevsHZq1Qk/qasKhwTrjQ==,yuOtuXbHx/x4DiseZsOR4g==,15-Mar-18,System Locked,15-Mar-18 10:46:07 AM,15-Mar-18 10:46:11 AM,0.05,
92,u+hHHgsk7vXxk+pEpY5n/Q==,iDLGelE+x5b0qB63iEpffA==,+vCD8kqWx0rqO+6MvfNSZA==,snevsHZq1Qk/qasKhwTrjQ==,oFX4W+50tGaQWTDJ8JXpEw==,15-Mar-18,System Locked,15-03-2018 11:14:55,15-03-2018 11:15:05,0.15,
